BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239707,134.0665989,-27.3613072,EWHDDH02,sa,806.53,https://nvclstore.z8.web.core.windows.net/SA/239707_EWHDDHO2.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239717,136.0530182,-29.9598702,BKDDH01,sa,599,https://nvclstore.z8.web.core.windows.net/SA/239717_BKDDH01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239718,136.0461232,-29.9507112,BKDDH02,sa,595.7,https://nvclstore.z8.web.core.windows.net/SA/239718_BKDDH02.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239767,138.9233898,-34.3450774,KD 11,sa,520.5,https://nvclstore.z8.web.core.windows.net/SA/239767_KD_11.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239890,137.6135236,-30.7976373,TD4,sa,1198,https://nvclstore.z8.web.core.windows.net/SA/239890_TD4.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239891,137.6135236,-30.7976373,TD5,sa,1183,https://nvclstore.z8.web.core.windows.net/SA/239891_TD5.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239892,137.5938956,-30.7826093,TD6,sa,1154.3,https://nvclstore.z8.web.core.windows.net/SA/239892_TD6.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/240038,140.0495627,-32.8030115,NTDD001,sa,350,https://nvclstore.z8.web.core.windows.net/SA/240038_NTDD001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/240039,140.0470237,-32.8017655,NTDD002,sa,348.6,https://nvclstore.z8.web.core.windows.net/SA/240039_NTDD002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/240040,140.0423317,-32.8060505,NTDD003,sa,347.9,https://nvclstore.z8.web.core.windows.net/SA/240040_NTDD003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/240041,140.0423317,-32.8060505,NTDD004,sa,350,https://nvclstore.z8.web.core.windows.net/SA/240041_ NTDD004.zip
